"","gutenberg_id","text"
"330",5230,"certain hesitation in Mr. Henfrey's manner. ""Very glad."" Mr. Henfrey"
"331",5230,"had intended to apologise and withdraw, but this anticipation"
"332",5230,"reassured him. The stranger turned round with his back to the"
"333",5230,"fireplace and put his hands behind his back. ""And presently,"" he"
"334",5230,"said, ""when the clock-mending is over, I think I should like to"
"335",5230,"have some tea. But not till the clock-mending is over."""
"336",5230,""
"337",5230,"Mrs. Hall was about to leave the room--she made no conversational"
"338",5230,"advances this time, because she did not want to be snubbed in front"
"339",5230,"of Mr. Henfrey--when her visitor asked her if she had made any"
"340",5230,"arrangements about his boxes at Bramblehurst. She told him she had"
"341",5230,"mentioned the matter to the postman, and that the carrier could"
"342",5230,"bring them over on the morrow. ""You are certain that is the"
"343",5230,"earliest?"" he said."
"344",5230,""
"345",5230,"She was certain, with a marked coldness."
"346",5230,""
"347",5230,"""I should explain,"" he added, ""what I was really too cold and"
"348",5230,"fatigued to do before, that I am an experimental investigator."""
"349",5230,""
"350",5230,"""Indeed, sir,"" said Mrs. Hall, much impressed."
"351",5230,""
"352",5230,"""And my baggage contains apparatus and appliances."""
"353",5230,""
"354",5230,"""Very useful things indeed they are, sir,"" said Mrs. Hall."
"355",5230,""
"356",5230,"""And I'm very naturally anxious to get on with my inquiries."""
"357",5230,""
"358",5230,"""Of course, sir."""
"359",5230,""
"360",5230,"""My reason for coming to Iping,"" he proceeded, with a certain"
"361",5230,"deliberation of manner, ""was ... a desire for solitude. I do not"
"362",5230,"wish to be disturbed in my work. In addition to my work, an"
"363",5230,"accident--"""
"364",5230,""
"365",5230,"""I thought as much,"" said Mrs. Hall to herself."
"366",5230,""
"367",5230,"""--necessitates a certain retirement. My eyes--are sometimes so"
"368",5230,"weak and painful that I have to shut myself up in the dark for"
"369",5230,"hours together. Lock myself up. Sometimes--now and then. Not at"
"370",5230,"present, certainly. At such times the slightest disturbance, the"
"371",5230,"entry of a stranger into the room, is a source of excruciating"
"372",5230,"annoyance to me--it is well these things should be understood."""
"373",5230,""
"374",5230,"""Certainly, sir,"" said Mrs. Hall. ""And if I might make so bold as"
"375",5230,"to ask--"""
"376",5230,""
"377",5230,"""That I think, is all,"" said the stranger, with that quietly"
"378",5230,"irresistible air of finality he could assume at will. Mrs. Hall"
"379",5230,"reserved her question and sympathy for a better occasion."
"380",5230,""
"381",5230,"After Mrs. Hall had left the room, he remained standing in front of"
"382",5230,"the fire, glaring, so Mr. Henfrey puts it, at the clock-mending. Mr."
"383",5230,"Henfrey not only took off the hands of the clock, and the face, but"
"384",5230,"extracted the works; and he tried to work in as slow and quiet and"
"385",5230,"unassuming a manner as possible. He worked with the lamp close to"
"386",5230,"him, and the green shade threw a brilliant light upon his hands,"
"387",5230,"and upon the frame and wheels, and left the rest of the room"
"388",5230,"shadowy. When he looked up, coloured patches swam in his eyes."
"389",5230,"Being constitutionally of a curious nature, he had removed the"
"390",5230,"works--a quite unnecessary proceeding--with the idea of delaying his"
"391",5230,"departure and perhaps falling into conversation with the stranger."
"392",5230,"But the stranger stood there, perfectly silent and still. So still,"
"393",5230,"it got on Henfrey's nerves. He felt alone in the room and looked up,"
"394",5230,"and there, grey and dim, was the bandaged head and huge blue lenses"
"395",5230,"staring fixedly, with a mist of green spots drifting in front of"
"396",5230,"them. It was so uncanny to Henfrey that for a minute they remained"
"397",5230,"staring blankly at one another. Then Henfrey looked down again. Very"
"398",5230,"uncomfortable position! One would like to say something. Should he"
"399",5230,"remark that the weather was very cold for the time of year?"
"400",5230,""
"401",5230,"He looked up as if to take aim with that introductory shot. ""The"
"402",5230,"weather--"" he began."
"403",5230,""
"404",5230,"""Why don't you finish and go?"" said the rigid figure, evidently in"
"405",5230,"a state of painfully suppressed rage. ""All you've got to do is to"
"406",5230,"fix the hour-hand on its axle. You're simply humbugging--"""
"407",5230,""
